material_id,formula,band_gap,poly_total,poly_electronic,ionic_polarization_fraction,density,volume,cluster
mp-441,Rb2Te,1.88,6.23,3.44,0.4478330658105939,3.108,159.501207678,2
mp-22881,CdCl2,3.52,6.73,3.16,0.5304606240713223,3.6109,84.2980965532,2
mp-28013,MnI2,1.17,10.64,4.97,0.5328947368421052,4.7322,108.335875169,0
mp-567290,LaN,1.12,17.99,7.04,0.6086714841578655,5.7604,88.162562026,0
mp-560902,MnF2,2.87,7.12,2.35,0.669943820224719,3.7264,82.8264012678,2
mp-22894,AgI,1.4,7.16,4.97,0.3058659217877095,5.329,146.31155269299998,0
mp-1747,K2Te,2.14,6.22,3.47,0.4421221864951768,2.4503,139.467818426,2
mp-971,K2O,1.71,9.24,3.18,0.6558441558441558,2.2912,68.26890106729999,2
mp-1500,BaS,2.15,14.95,4.8100000000000005,0.6782608695652175,4.1789,67.3095882287,2
mp-2784,Na2Te,2.02,7.88,4.32,0.4517766497461929,2.9234,98.597229912,2
mp-2693,SnSe,0.12,45.7,45.7,0.0,5.8844,55.7845717661,0
mp-1672,CaS,2.38,12.09,4.99,0.587262200165426,2.5653,46.6951242447,2
mp-2530,Li2Te,2.5,8.42,4.97,0.4097387173396675,3.3785,69.5378946656,2
mp-1186,ZrS2,1.05,35.9,8.05,0.775766016713092,3.3073,77.9966094876,2
mp-8426,K2Se,2.09,6.37,3.3,0.4819466248037676,2.2364,116.698690065,2
mp-568264,SiSe2,2.15,4.82,3.85,0.2012448132780082,2.8897,213.795473732,1
mp-1315,MgS,2.76,16.02,5.4,0.6629213483146067,2.6186,35.7434887297,2
mp-567259,CdI2,2.42,10.7,4.73,0.5579439252336449,5.0904,119.460933514,0
mp-27934,CdBr2,2.94,7.48,3.54,0.5267379679144385,4.4125,204.883255314,2
mp-2114,YN,0.15,120.01,15.43,0.871427381051579,5.7428,29.7575464199,0
mp-8177,HgF2,0.97,12.36,3.84,0.6893203883495146,8.7733,45.1577944395,0
mp-2097,SnO,0.41,18.73,7.29,0.6107848371596369,5.9424,75.28545173180001,0
mp-604884,BN,4.42,5.08,3.84,0.2440944881889763,2.1281,38.7289646409,2
mp-617,PtO2,1.6,9.29,7.44,0.1991388589881593,9.1986,40.9922057139,0
mp-1022,K2S,2.32,6.36,3.1,0.5125786163522011,1.7607,103.981990274,2
mp-422,BeS,3.14,7.26,5.26,0.2754820936639118,2.3554,28.9558083259,2
mp-23205,MgI2,3.62,6.72,3.67,0.4538690476190476,3.8924,118.643076511,2
mp-22867,RbBr,4.19,5.69,2.45,0.5694200351493849,3.1644,86.78051080680001,2
mp-22877,VCl2,1.25,5.18,3.92,0.2432432432432432,2.873,70.4227556857,0
mp-648,Na2S,2.44,7.04,3.51,0.5014204545454545,1.8269,70.9338407808,2
mp-570259,MgCl2,5.57,5.22,2.64,0.4942528735632184,2.1047,75.1136317601,2
mp-762,PtS2,1.54,10.9,10.14,0.0697247706422018,6.2034,69.3832905913,0
mp-1105,BaO2,2.23,17.11,3.52,0.7942723553477499,5.392,52.1468870527,2
mp-2352,Na2O,1.87,7.57,3.27,0.5680317040951123,2.3504,43.7885475453,2
mp-1115,PtSe2,0.8300000000000001,16.0,15.28,0.045,7.8217,74.9463454114,0
mp-1569,Be2C,1.17,14.92,7.0,0.5308310991957105,2.4613,20.2637521337,2
mp-28306,MnBr2,1.6,8.26,3.66,0.5569007263922517,3.8258,93.2083621977,2
mp-2286,Li2Se,2.97,7.84,4.32,0.4489795918367347,2.8272,54.5355754192,2
mp-23209,SrCl2,5.23,8.48,2.88,0.660377358490566,3.0084,87.49726892790001,2
mp-1285,PtO2,0.64,22.44,21.34,0.0490196078431372,11.2495,67.0381111474,0
mp-241,CdF2,2.9,9.02,2.8,0.6895787139689579,6.0291,41.425174546,2
mp-2251,Li3N,0.98,10.69,6.0,0.4387277829747428,1.2885,44.8825668292,2
mp-984,BN,4.48,4.68,3.5700000000000003,0.2371794871794872,1.9562,42.1326017323,2
mp-1266,Na2Se,2.02,7.52,3.96,0.473404255319149,2.5782,80.4777023717,2
mp-570538,NaN3,3.94,5.16,2.32,0.5503875968992248,1.7934,60.1963443688,2
mp-2659,LiN3,3.64,10.0,2.76,0.724,1.7901,45.4173134206,2
mp-8062,SiC,1.37,10.36,7.0,0.3243243243243243,3.1704,21.0005908394,0
mp-1778,BeO,6.85,7.2,3.11,0.5680555555555555,2.9707,13.980547968900002,2
mp-13150,BN,4.39,4.9,3.73,0.2387755102040816,2.0603,20.0020797757,2
mp-830,GaN,1.57,10.96,6.09,0.4443430656934306,5.9214,23.4804813386,0
