material_id,formula,feature,value,direction,threshold,iqr,iqr_distance,scientific_rationale
mp-1778,BeO,band_gap,6.85,Upper,5.8775,1.995,0.49,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-1818,SiF4,band_gap,7.72,Upper,5.8775,1.995,0.92,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-23267,BeCl2,band_gap,6.33,Upper,5.8775,1.995,0.23,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-8511,PF5,band_gap,7.09,Upper,5.8775,1.995,0.61,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-558118,BeF2,band_gap,8.09,Upper,5.8775,1.995,1.11,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-20066,CO2,band_gap,6.63,Upper,5.8775,1.995,0.38,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-468,AlF3,band_gap,7.6,Upper,5.8775,1.995,0.86,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-23739,SiH4,band_gap,6.56,Upper,5.8775,1.995,0.34,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-306,B2O3,band_gap,6.3,Upper,5.8775,1.995,0.21,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-10694,ScF3,band_gap,6.07,Upper,5.8775,1.995,0.1,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-15951,BeF2,band_gap,8.32,Upper,5.8775,1.995,1.22,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-5347,KAlF4,band_gap,6.79,Upper,5.8775,1.995,0.46,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-7104,CsCaF3,band_gap,6.9,Upper,5.8775,1.995,0.51,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-31212,K2MgF4,band_gap,6.41,Upper,5.8775,1.995,0.27,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-8402,RbMgF3,band_gap,6.94,Upper,5.8775,1.995,0.53,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-3448,KMgF3,band_gap,6.95,Upper,5.8775,1.995,0.54,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-13947,Rb2HfF6,band_gap,7.13,Upper,5.8775,1.995,0.63,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-3042,K2SiF6,band_gap,7.22,Upper,5.8775,1.995,0.67,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-14232,LiBO2,band_gap,7.28,Upper,5.8775,1.995,0.7,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-27837,NaHF2,band_gap,6.81,Upper,5.8775,1.995,0.47,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-22957,SrClF,band_gap,5.94,Upper,5.8775,1.995,0.03,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-10474,NaPF6,band_gap,7.01,Upper,5.8775,1.995,0.57,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-8812,Rb2GeF6,band_gap,5.97,Upper,5.8775,1.995,0.05,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-8217,Cs2GeF6,band_gap,6.03,Upper,5.8775,1.995,0.08,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
mp-5479,RbAlF4,band_gap,6.88,Upper,5.8775,1.995,0.5,Wide-bandgap ultra-insulator / deep UV optical window (e.g. fluorides/oxides)
